user,avg_daily_device_connections,first_use_date,late_hour_device_use,missing_disconnects,distinct_pcs_used,above_avg_daily_counter,ratio_of_above_avg_days,emails_sent_per_day,unique_recipients_count,external_emails_ratio,attachment_count_avg,emails_sent_off_hours,bcc_usage_rate,total_files_copied,active_days,avg_files_copied_per_day,filetype_doc,filetype_exe,filetype_jpg,filetype_pdf,filetype_txt,filetype_zip,after_hours_file_copy_ratio,avg_urls_per_day,avg_malicious_urls_per_day,total_malicious_urls,avg_distinct_domains_per_day,avg_after_hours_browsing_per_day,avg_logon_time_hours,avg_logoff_time_hours,logon_std_dev_hours,after_hours_logons,weekend_logons,logons_on_other_user_pcs,malicious
AAF0535,2.232258064516129,2010-01-05 11:45:35,0.0,4.0,1.0,13.0,0.0838709677419354,2.962962962962963,189,0.3329177057356609,0.7583333333333333,0,0.4958333333333333,357.0,112.0,3.1875,228.0,3.0,23.0,68.0,23.0,12.0,0.0,27.33333333333333,1.1428571428571428,8.0,14.666666666666666,0.0,8.976829268055555,17.018699186944446,0.1252606305555555,0.0,0.0,0.0,1
AHD0848,1.327433628318584,2010-01-07 16:25:58,2.0,1.0,1.0,33.0,0.2920353982300885,1.0162162162162165,142,0.3542673107890499,0.7207446808510638,22,0.0,199.0,61.0,3.262295081967213,126.0,2.0,10.0,36.0,14.0,11.0,0.0552763819095477,9.5,1.0,4.0,7.642857142857143,1.1111111111111112,10.79496390027778,19.01252577972222,2.7207055977777777,6.0,55.0,49.0,0
AIB0948,8.641618497109826,2010-01-04 07:20:11,0.0,17.0,1.0,3.0,0.0086705202312138,1.0,146,0.4365942028985507,0.2012195121951219,0,0.5152439024390244,1669.0,314.0,5.3152866242038215,1065.0,8.0,82.0,346.0,81.0,87.0,0.0,9.583333333333334,1.0,5.0,8.333333333333334,0.0,9.30201716888889,14.606855030833334,2.502623353333333,0.0,0.0,120.0,0
AJD0074,1.271186440677966,2010-01-05 14:19:57,0.0,6.0,1.0,26.0,0.2203389830508474,9.795336787564766,595,0.4578059071729958,0.5670457550912457,0,0.5083311293308649,515.0,106.0,4.858490566037736,345.0,2.0,29.0,94.0,30.0,15.0,0.0,108.92857142857144,1.0,4.0,35.285714285714285,0.0,9.183441111111112,15.384676745277776,2.5638650380555554,0.0,74.0,65.0,0
AJF0370,11.423592493297589,2010-01-04 06:26:10,738.0,20.0,642.0,104.0,0.2788203753351206,10.528150134048255,634,0.5124786854751201,0.5632798573975044,0,0.0,11053.0,373.0,29.632707774798927,7087.0,74.0,595.0,2185.0,543.0,569.0,0.1782321541662897,110.14285714285714,3.5,42.0,39.92857142857143,0.0,11.683802444722222,13.601660514444443,6.7453001666666665,785.0,77.0,1117.0,0
AJN0607,3.002906976744186,2010-01-04 08:04:17,0.0,5.0,1.0,100.0,0.2906976744186046,14.556521739130435,812,0.4563554692242321,0.7401433691756273,0,0.0,820.0,233.0,3.51931330472103,521.0,12.0,41.0,164.0,38.0,44.0,0.0,152.41666666666666,12.181818181818182,134.0,37.41666666666666,0.0,10.336987594166668,15.9863243175,2.5974612722222226,0.0,0.0,110.0,0
ATP0662,1.5634920634920637,2010-01-04 13:47:06,0.0,4.0,1.0,22.0,0.0873015873015873,13.680965147453083,806,0.4660357014496226,0.7483833039388595,72,0.4879482657260435,1273.0,236.0,5.3940677966101696,827.0,6.0,64.0,248.0,64.0,64.0,0.0,135.0,3.083333333333333,37.0,38.61538461538461,3.0,11.1884736725,16.652690790833333,3.756051923611112,68.0,48.0,23.0,0
BBG0325,1.5081967213114753,2010-01-04 09:08:42,0.0,7.0,1.0,22.0,0.0901639344262295,14.54335260115607,806,0.4456613310867733,0.4986089030206677,0,0.4942368839427662,349.0,112.0,3.1160714285714284,220.0,1.0,29.0,65.0,19.0,15.0,0.0,153.58333333333334,8.333333333333334,100.0,37.5,0.0,9.791577673888888,15.519766002222225,2.4450450491666667,0.0,0.0,22.0,0
BBS0039,2.0,2010-08-12 14:50:20,1.0,0.0,2.0,0.0,0.0,10.694267515923569,328,0.4954296160877514,0.4228707564026206,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,108.33333333333331,10.4,104.0,30.33333333333333,0.0,10.967680995277778,13.032508379166666,7.551693327500001,362.0,0.0,504.0,1
BEH0615,1.5887096774193548,2010-01-05 12:08:48,0.0,8.0,1.0,30.0,0.1209677419354838,14.553977272727272,824,0.2996905498690788,0.5328908842475112,0,0.4952176459105992,268.0,102.0,2.627450980392157,169.0,3.0,11.0,58.0,12.0,15.0,0.0,152.58333333333334,11.0,132.0,32.333333333333336,0.0,10.206105072222224,16.378442118055556,2.5490389266666664,0.0,2.0,53.0,0
