user,avg_daily_device_connections,first_use_date,late_hour_device_use,missing_disconnects,distinct_pcs_used,above_avg_daily_counter,ratio_of_above_avg_days,emails_sent_per_day,unique_recipients_count,external_emails_ratio,attachment_count_avg,emails_sent_off_hours,bcc_usage_rate,total_files_copied,active_days,avg_files_copied_per_day,filetype_doc,filetype_exe,filetype_jpg,filetype_pdf,filetype_txt,filetype_zip,after_hours_file_copy_ratio,avg_urls_per_day,avg_malicious_urls_per_day,total_malicious_urls,avg_distinct_domains_per_day,avg_after_hours_browsing_per_day,avg_logon_time_hours,avg_logoff_time_hours,logon_std_dev_hours,after_hours_logons,weekend_logons,logons_on_other_user_pcs,potential_threat,malicious
YCE0983,0.0,0,0,0,0,0,0.0,8.748554913,480,0.455858748,0.853650479,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,89.25,2.2,11,31.91666667,0.0,7.732755299,17.77153179,0.129434493,0,0,0,False,0
MKP0861,0.0,0,0,0,0,0,0.0,14.44347826,809,0.50199104,0.710014048,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,161.8333333,7.0,70,39.33333333,0.0,9.75732034,17.80207129,2.411103945,0,0,0,False,0
HKR0628,0.0,0,0,0,0,0,0.0,14.44508671,738,0.412052316,0.739095638,0,0.49979992,0,0,0.0,0,0,0,0,0,0,0.0,153.5,18.36363636,202,29.66666667,0.0,10.34842501,15.96596416,2.633627441,0,0,102,False,0
LNR0656,0.0,0,0,0,0,0,0.0,2.950581395,230,0.476019185,0.0,229,0.0,0,0,0.0,0,0,0,0,0,0,0.0,27.08333333,1.25,10,17.75,5.363636364,9.211368015,21.29229287,0.095742832,0,0,0,False,0
FMG0527,3.0,30-12-2010 21:29,12,0,1,0,0.0,2.936802974,223,0.329762816,0.763291139,0,0.0,23,2,11.5,15,0,3,4,1,0,1.0,27.58333333,1.666666667,10,16.16666667,0.0,9.144422141,16.9743309,1.508719065,3,0,0,False,1
DBS0235,0.0,0,0,0,0,0,0.0,8.768786127,514,0.544406231,0.216545814,26,0.0,0,0,0.0,0,0,0,0,0,0,0.0,89.08333333,2.75,22,37.58333333,1.666666667,8.435933601,18.71307338,2.118830184,0,0,28,False,0
PMJ0564,0.0,0,0,0,0,0,0.0,8.736231884,513,0.328764362,0.734903782,0,0.49071002,0,0,0.0,0,0,0,0,0,0,0.0,89.5,2.8,28,27.75,23.0,11.34543464,16.38830017,3.05320221,26,1,96,False,0
LOM0086,2.2,04-01-2010 09:18,0,2,1,9,0.069230769,8.711267606,226,0.426065163,0.506063056,0,0.5109135,438,105,4.171428571,283,2,29,79,25,20,0.0,89.83333333,9.909090909,109,34.83333333,0.0,9.787069717,16.59438209,2.408587713,0,0,5,False,0
HMW0713,0.0,0,0,0,0,0,0.0,1.0,142,0.35154827,0.402985075,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,9.583333333,1.8,18,6.833333333,0.0,7.733140655,16.77080925,0.120972821,0,0,0,False,0
NKP0236,1.242424242,08-01-2010 13:18,0,0,1,24,0.242424242,8.700581395,508,0.335046249,0.203474774,5,0.71032409,299,77,3.883116883,184,3,12,62,22,16,0.0,89.41666667,6.0,72,26.66666667,0.0,8.141266823,17.80591471,1.74474576,9,0,0,False,0
RIH0777,0.0,0,0,0,0,0,0.0,2.903790087,284,0.433591423,0.317269076,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,27.25,0.0,0,17.0,0.0,8.445712909,16.56136802,0.090419077,0,0,0,False,0
MHH0180,0.0,0,0,0,0,0,0.0,2.959558824,211,0.470943396,0.22484472,0,0.488198758,0,0,0.0,0,0,0,0,0,0,0.0,25.5,0.0,0,15.57142857,0.0,9.243593356,18.30188564,2.407792173,0,65,0,False,0
DMM0623,0.0,0,0,0,0,0,0.0,14.69577465,824,0.411956648,0.773241326,0,0.492236918,0,0,0.0,0,0,0,0,0,0,0.0,151.25,19.08333333,229,35.75,0.0,9.995116516,17.02685446,2.39985434,0,6,0,False,0
BER0314,0.0,0,0,0,0,0,0.0,14.38550725,761,0.426578561,0.198670159,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,153.6666667,13.83333333,166,40.0,0.0,7.723121387,15.76160886,0.124851293,0,0,0,False,0
BHW0458,0.0,0,0,0,0,0,0.0,1.0,136,0.436594203,0.459459459,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,9.5,1.0,4,8.083333333,0.0,7.95973025,18.03145472,0.110867133,0,0,0,False,0
