user,avg_daily_device_connections,first_use_date,late_hour_device_use,missing_disconnects,distinct_pcs_used,above_avg_daily_counter,ratio_of_above_avg_days,emails_sent_per_day,unique_recipients_count,external_emails_ratio,attachment_count_avg,emails_sent_off_hours,bcc_usage_rate,total_files_copied,active_days,avg_files_copied_per_day,filetype_doc,filetype_exe,filetype_jpg,filetype_pdf,filetype_txt,filetype_zip,after_hours_file_copy_ratio,avg_urls_per_day,avg_malicious_urls_per_day,total_malicious_urls,avg_distinct_domains_per_day,avg_after_hours_browsing_per_day,avg_logon_time_hours,avg_logoff_time_hours,logon_std_dev_hours,after_hours_logons,weekend_logons,logons_on_other_user_pcs,malicious
AAM0658,1.4,2010-10-21 00:22:06,6.0,1.0,1.0,1.0,0.2,2.9419642857142856,174,0.4282982791586998,0.9301972685887708,146,0.0,31.0,3.0,10.333333333333334,17.0,0.0,1.0,6.0,6.0,1.0,1.0,27.0,2.1,21.0,17.333333333333332,7.363636363636363,9.056462881944444,20.923674187222225,1.116220965,5.0,1.0,0.0,1
AIP0982,1.525,2010-01-06 16:58:00,0.0,3.0,1.0,25.0,0.1041666666666666,9.674418604651162,554,0.3692697952527631,0.5600961538461539,0,0.4891826923076923,6182.0,240.0,25.758333333333333,3960.0,42.0,329.0,1223.0,327.0,301.0,0.0,94.16666666666669,7.416666666666667,89.0,20.916666666666668,0.0,9.834571540833332,17.488605005833335,2.455221303333333,0.0,0.0,18.0,0
AJH0175,1.3032786885245902,2010-01-13 09:21:10,0.0,1.0,1.0,32.0,0.2622950819672131,14.465116279069768,756,0.4430023264356557,0.2094051446945337,0,0.0,236.0,72.0,3.2777777777777777,148.0,3.0,8.0,45.0,21.0,11.0,0.0,145.33333333333334,10.5,126.0,38.66666666666666,11.0,8.727891632222223,14.358037036944443,3.9541904772222223,49.0,0.0,0.0,0
AJR0932,6.333333333333333,2010-09-10 04:35:01,18.0,0.0,1.0,0.0,0.0,8.809278350515465,304,0.3781238681637088,0.0,0,0.0,47.0,2.0,23.5,34.0,0.0,2.0,9.0,1.0,1.0,0.8297872340425532,87.66666666666667,2.571428571428572,18.0,34.416666666666664,0.0,7.316228363888888,16.1169095475,1.5045914708333334,4.0,0.0,0.0,1
ATE0869,1.25,2010-01-03 13:04:13,0.0,1.0,1.0,41.0,0.244047619047619,15.535123966942148,1086,0.4685144663262825,0.6026067296183003,5,0.7410559914882299,522.0,137.0,3.81021897810219,337.0,2.0,28.0,102.0,26.0,27.0,0.0,147.33333333333334,10.88888888888889,196.0,43.44444444444444,0.0,9.882000430555555,17.292758693611113,2.665097341388889,10.0,250.0,29.0,0
BDV0168,4.0,2010-07-30 05:51:32,15.0,0.0,1.0,1.0,0.25,14.709090909090907,427,0.4172894867962132,0.3485784919653893,0,0.0,36.0,2.0,18.0,22.0,0.0,4.0,6.0,3.0,1.0,0.8888888888888888,153.25,12.363636363636363,136.0,34.916666666666664,0.0,7.802169934444444,15.688553921388888,1.426622578611111,5.0,0.0,0.0,1
BRM0995,8.592485549132949,2010-01-04 09:19:24,538.0,14.0,1.0,3.0,0.0086705202312138,8.874635568513119,503,0.4224376731301939,0.5469776609724047,571,0.5075558475689882,590.0,177.0,3.333333333333333,380.0,3.0,29.0,117.0,31.0,30.0,0.2084745762711864,93.25,4.0,40.0,32.0,18.181818181818183,11.553623225833334,21.06628686305556,2.792258820833333,14.0,0.0,27.0,0
BSS0369,11.512605042016808,2010-01-03 01:10:23,431.0,8.0,489.0,29.0,0.1218487394957983,9.70464135021097,406,0.3842312746386334,0.2134782608695652,0,0.5047826086956522,2295.0,223.0,10.291479820627805,1491.0,27.0,117.0,439.0,115.0,106.0,0.4444444444444444,114.06666666666666,4.785714285714286,67.0,35.2,0.0,11.222747458888888,13.37398302138889,7.065843085,451.0,180.0,720.0,1
CAH0936,2.6,2010-08-09 21:33:35,12.0,1.0,1.0,1.0,0.2,8.790697674418604,303,0.4432098765432098,0.6190476190476191,0,0.0,42.0,4.0,10.5,26.0,1.0,3.0,8.0,2.0,2.0,0.9761904761904762,94.25,2.0,12.0,34.583333333333336,0.0,9.399679064444443,14.973958007222222,2.75493639,6.0,0.0,34.0,1
CAM0681,1.512605042016807,2010-01-05 10:11:35,0.0,3.0,1.0,15.0,0.0630252100840336,8.791304347826086,532,0.4053724053724054,0.5014836795252225,40,0.5028025057698648,759.0,191.0,3.973821989528796,481.0,2.0,45.0,159.0,32.0,40.0,0.0026350461133069,93.33333333333331,4.333333333333333,52.0,30.83333333333333,2.0,10.959180260833334,19.046387283055555,2.3850726758333334,0.0,0.0,0.0,0
CCL0068,2.327205882352941,2010-01-04 08:33:49,0.0,4.0,1.0,24.0,0.088235294117647,8.753472222222221,439,0.3984432011675991,0.328044426814756,0,0.0,630.0,195.0,3.230769230769231,405.0,5.0,37.0,125.0,33.0,25.0,0.0,89.66666666666667,8.416666666666666,101.0,33.583333333333336,0.0,7.989872685,18.00642361111111,0.1352027169444444,0.0,0.0,0.0,1
CFM0767,1.4705882352941178,2010-01-04 14:31:21,0.0,5.0,1.0,17.0,0.0666666666666666,2.9130434782608696,265,0.3810375670840787,0.1880597014925373,0,0.4825870646766169,778.0,199.0,3.909547738693467,491.0,3.0,57.0,150.0,31.0,46.0,0.0,27.25,1.0,1.0,15.166666666666666,2.0,10.720028918055554,15.227686526944446,3.3571701022222222,37.0,0.0,25.0,0
CGB0637,3.136231884057971,2010-01-04 10:31:08,172.0,9.0,1.0,23.0,0.0666666666666666,2.9565217391304346,261,0.5228486646884273,0.5392156862745098,230,0.0,2333.0,343.0,6.801749271137027,1505.0,13.0,125.0,448.0,134.0,108.0,0.1903129018431204,26.666666666666668,2.2857142857142856,16.0,17.083333333333332,6.636363636363637,11.237227686666667,21.264836223333333,2.393138086111111,0.0,0.0,0.0,0
CHM0821,1.5269709543568464,2010-01-04 09:42:54,2.0,3.0,1.0,18.0,0.0746887966804979,1.0,144,0.4192982456140351,0.8076923076923077,22,0.4911242603550296,1228.0,225.0,5.457777777777777,797.0,6.0,57.0,238.0,62.0,68.0,0.019543973941368,9.333333333333334,1.0,4.0,8.333333333333334,2.2,11.567075359722224,18.72512594138889,3.615077955555556,42.0,0.0,115.0,0
CPG0322,1.1517857142857142,2010-01-07 10:36:43,0.0,0.0,1.0,15.0,0.1339285714285714,14.485549132947977,764,0.4313510884105557,0.62390263367917,0,0.5,337.0,90.0,3.744444444444445,209.0,2.0,21.0,63.0,25.0,17.0,0.0,145.08333333333334,11.833333333333334,142.0,33.083333333333336,0.0,8.739205875833333,14.293654185833333,2.091335731111111,0.0,0.0,157.0,0
CWR0502,1.4560669456066946,2010-01-04 09:50:31,0.0,2.0,1.0,12.0,0.0502092050209205,13.517341040462428,763,0.4485714285714285,0.5403036134274107,0,0.4998930938635877,765.0,197.0,3.883248730964467,495.0,3.0,42.0,149.0,36.0,40.0,0.0,152.33333333333334,4.090909090909091,45.0,43.5,0.0,10.45756186138889,16.380480568333333,2.566733011111112,0.0,0.0,80.0,0
DBB0384,8.601156069364162,2010-01-04 08:05:17,0.0,20.0,1.0,2.0,0.0057803468208092,8.69855072463768,522,0.3916027452563585,0.2159280239920026,0,0.0,8543.0,346.0,24.690751445086704,5499.0,51.0,424.0,1720.0,435.0,414.0,0.0,89.83333333333333,1.0,2.0,27.58333333333333,0.0,7.946483622222222,16.058092485277776,0.0938340530555555,0.0,0.0,0.0,0
EDB0714,2.3260869565217392,2010-01-04 12:22:10,0.0,0.0,1.0,24.0,0.1043478260869565,1.0805084745762712,109,0.4638403990024937,0.5490196078431373,0,0.0,526.0,157.0,3.35031847133758,333.0,3.0,28.0,105.0,32.0,25.0,0.0,9.416666666666666,1.875,15.0,7.833333333333333,0.0,7.721969696944444,16.76790633583333,0.12321805,0.0,0.0,0.0,1
ESR0693,1.6923076923076923,2010-01-04 15:43:46,0.0,5.0,1.0,19.0,0.1623931623931624,8.727810650887575,276,0.2631578947368421,0.76,16,0.0,509.0,108.0,4.712962962962963,339.0,3.0,15.0,101.0,31.0,20.0,0.0,89.25,7.4,74.0,23.75,2.0,9.61424334472222,18.472164351666667,1.9667171191666664,0.0,0.0,23.0,0
FMG0527,3.0,2010-12-30 21:29:24,12.0,0.0,1.0,0.0,0.0,2.936802973977695,223,0.3297628156082632,0.7632911392405063,0,0.0,23.0,2.0,11.5,15.0,0.0,3.0,4.0,1.0,0.0,1.0,27.58333333333333,1.6666666666666667,10.0,16.166666666666668,0.0,9.14442214111111,16.9743309,1.5087190652777778,3.0,0.0,0.0,1
