user,avg_daily_device_connections,first_use_date,late_hour_device_use,missing_disconnects,distinct_pcs_used,above_avg_daily_counter,ratio_of_above_avg_days,emails_sent_per_day,unique_recipients_count,external_emails_ratio,attachment_count_avg,emails_sent_off_hours,bcc_usage_rate,total_files_copied,active_days,avg_files_copied_per_day,filetype_doc,filetype_exe,filetype_jpg,filetype_pdf,filetype_txt,filetype_zip,after_hours_file_copy_ratio,avg_urls_per_day,avg_malicious_urls_per_day,total_malicious_urls,avg_distinct_domains_per_day,avg_after_hours_browsing_per_day,avg_logon_time_hours,avg_logoff_time_hours,logon_std_dev_hours,after_hours_logons,weekend_logons,logons_on_other_user_pcs,potential_threat,malicious
CCW0524,0.0,0,0,0,0,0,0.0,2.950292398,264,0.425454545,0.411298315,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,27.0,1.8,9,13.83333333,0.0,8.971772639,17.03049133,0.118122477,0,0,0,False,0
AMJ0297,0.0,0,0,0,0,0,0.0,1.0,137,0.422018349,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,9.5,1.333333333,4,7.916666667,0.0,8.945761079,18.04850674,0.094176738,0,0,0,False,0
CAS0507,1.536290323,04-01-2010 12:10,1,3,1,21,0.084677419,2.932748538,254,0.578454333,0.527417747,0,0.490528415,6290,248,25.36290323,4010,40,319,1285,302,334,0.00381558,27.41666667,1.888888889,17,18.66666667,0.0,11.32582048,15.91613674,2.722661834,8,0,110,False,0
KPP0452,0.0,0,0,0,0,0,0.0,1.0,143,0.248251748,0.381231672,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,9.416666667,0.0,0,7.833333333,0.0,7.948795761,18.05587669,0.090530702,0,0,0,False,0
TTD1000,0.0,0,0,0,0,0,0.0,8.670520231,498,0.552529974,0.361666667,84,0.0,0,0,0.0,0,0,0,0,0,0,0.0,89.25,3.25,39,39.08333333,4.222222222,8.204672447,19.28636802,0.107203534,0,0,0,False,0
JAJ0849,0.0,0,0,0,0,0,0.0,1.0,151,0.426160338,0.641686183,22,0.49882904,0,0,0.0,0,0,0,0,0,0,0.0,9.5625,2.0,4,7.75,1.625,10.85151811,17.86883135,3.319535185,47,184,75,False,0
BJW0619,0.0,0,0,0,0,0,0.0,14.41449275,791,0.406253847,0.196259803,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,153.1666667,11.75,141,32.83333333,0.0,7.949325626,17.05385356,0.097544051,0,0,0,False,0
VMJ0546,2.188271605,04-01-2010 16:58,0,8,1,24,0.074074074,8.76744186,498,0.441991168,0.812665782,0,0.493700265,3373,324,10.41049383,2158,22,200,648,168,177,0.0,90.0,4.3,43,32.0,0.0,10.00650027,18.03757225,2.399042083,0,0,0,False,0
WDD0366,1.5,22-02-2011 23:15,6,0,1,0,0.0,10.54098361,589,0.46670461,0.54059098,0,0.501399689,6,2,3.0,6,0,0,0,0,0,1.0,107.5,3.5,35,32.16666667,0.0,11.45446341,13.32255834,6.784242373,638,0,906,False,0
RDM0150,0.0,0,0,0,0,0,0.0,4.895043732,322,0.384353741,0.221560453,0,0.246575342,0,0,0.0,0,0,0,0,0,0,0.0,45.33333333,2.9,29,24.83333333,0.0,8.487042389,16.50944123,0.134169672,0,0,0,False,0
CCM0467,0.0,0,0,0,0,0,0.0,1.0,141,0.37254902,0.423880597,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,9.416666667,1.666666667,5,6.916666667,0.0,7.956358381,18.0433526,0.098921892,0,0,0,False,0
AAM0658,1.4,21-10-2010 00:22,6,1,1,1,0.2,2.941964286,174,0.428298279,0.930197269,146,0.0,31,3,10.33333333,17,0,1,6,6,1,1.0,27.0,2.1,21,17.33333333,7.363636364,9.056462882,20.92367419,1.116220965,5,1,0,False,1
OMM0944,0.0,0,0,0,0,0,0.0,1.0,134,0.532743363,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,9.666666667,1.25,5,7.916666667,0.0,7.253660886,16.26213873,0.143375756,0,0,0,False,0
